enrolment_id,learner_id,course_id,enrol_date,expected_completion_date,actual_completion_date,status,progress_pct,last_activity_date,assessment_score,attempts,feedback_rating,certificate_issued
ENR01237,LRN0172,CRS035,2024-02-27,2024-05-17,,Not Started,0,,,1,,No
ENR00483,LRN0192,CRS009,2024-03-10,2024-03-30,,Dropped,18,2024-03-24,,1,,No
ENR00712,LRN0238,CRS007,2024-03-09,2024-04-18,,Dropped,20,2024-03-09,,1,4,No
ENR00953,LRN0184,CRS042,2024-02-29,2024-03-10,,In Progress,15,2024-03-10,,1,,No
ENR01619,LRN0485,CRS004,2024-01-21,2024-03-21,2024-03-27,Completed,100,2024-03-27,78.52,1,4,Yes
ENR00792,LRN0021,CRS023,2024-02-26,2024-05-16,,Dropped,33,2024-03-06,,1,,No
ENR00179,LRN0169,CRS017,2024-02-08,2024-02-28,,Dropped,17,2024-02-20,,1,,No
ENR00520,LRN0176,CRS028,2024-01-08,2024-02-17,2024-01-11,Completed,100,2024-01-11,77.37,1,5,Yes
ENR01194,LRN0271,CRS009,2024-02-22,2024-03-13,2024-03-02,Completed,100,,80.48,1,1,Yes
ENR01716,LRN0327,CRS004,2024-02-16,2024-04-16,2024-02-22,Completed,100,2024-02-22,59.21,1,3,No
ENR00432,LRN0450,CRS042,2024-03-08,2024-03-18,2024-03-11,Completed,100,2024-03-11,51.31,2,4,No
ENR01913,LRN0300,CRS015,2024-01-23,2024-02-02,,Dropped,12,2024-01-28,,1,,No
ENR01862,LRN0423,CRS008,2024-02-20,2024-05-10,,In Progress,87,2024-03-15,,1,,No
ENR01288,LRN0235,CRS044,2024-01-28,2024-04-17,2024-03-31,Completed,100,2024-03-31,85.06,2,5,Yes
ENR00343,LRN0270,CRS009,2024-01-02,2024-01-22,,In Progress,59,2024-02-19,,1,,No
ENR00152,LRN0317,CRS049,2024-02-22,2024-04-02,2024-03-26,Completed,100,2024-03-26,88.31,1,4,Yes
ENR00353,LRN0399,CRS042,2024-01-19,2024-01-29,2024-01-26,Completed,100,2024-01-26,69.57,1,4,Yes
ENR00553,LRN0469,CRS024,2024-03-02,2024-04-01,,In Progress,63,2024-03-16,,1,,No
ENR01012,LRN0207,CRS014,2024-01-28,2024-02-27,2024-02-17,Completed,100,2024-02-17,60.08,1,2,Yes
ENR01696,LRN0283,CRS016,2024-03-17,2024-04-06,,Dropped,6,2024-03-21,,1,,No
ENR01188,LRN0481,CRS003,2024-01-25,2024-02-14,,Dropped,33,2024-01-25,,2,,No
ENR01049,LRN0205,CRS027,2024-03-13,2024-04-12,2024-03-16,Completed,100,2024-03-16,58.34,1,1,No
ENR01871,LRN0358,CRS019,2024-02-21,2024-04-21,,Dropped,14,2024-02-24,,1,,No
ENR00204,LRN0006,CRS044,2024-02-04,2024-04-24,2024-03-15,Completed,100,2024-03-15,54.79,1,5,No
ENR00921,LRN0193,CRS036,2024-01-04,2024-01-24,,In Progress,51,2024-03-26,,1,,No
ENR01778,LRN0345,CRS014,2024-01-23,2024-02-22,,In Progress,78,2024-02-05,,2,2,No
ENR01514,LRN0214,CRS022,2024-01-07,2024-01-27,,In Progress,35,,,1,,No
ENR01323,LRN0316,CRS024,2024-02-21,2024-03-22,,Not Started,0,,,1,,No
ENR00356,LRN0484,CRS042,2024-02-01,2024-02-11,2024-02-13,Completed,100,2024-02-13,72.34,1,5,Yes
ENR01710,LRN0374,CRS023,2024-01-28,2024-04-17,2024-03-31,Completed,100,,90.59,2,1,Yes
ENR01226,LRN0136,CRS038,2024-01-07,2024-02-06,,Dropped,20,2024-01-09,,1,,No
ENR01026,LRN0372,CRS026,2024-03-08,2024-03-18,,In Progress,76,2024-03-28,,1,,No
ENR01964,LRN0400,CRS038,2024-01-03,2024-02-02,,Dropped,14,,,1,4,No
ENR00119,LRN0093,CRS002,2024-02-05,2024-02-25,,Dropped,28,2024-02-08,,1,,No
ENR00834,LRN0097,CRS006,2024-02-09,2024-02-19,,Dropped,34,,,1,,No
ENR01985,LRN0357,CRS038,2024-03-09,2024-04-08,,In Progress,40,2024-03-30,,3,2,No
ENR00325,LRN0381,CRS039,2024-01-16,2024-04-05,2024-03-31,Completed,100,2024-03-31,89.96,1,4,Yes
ENR01044,LRN0490,CRS017,2024-03-14,2024-04-03,,In Progress,90,2024-03-24,,1,,No
ENR01548,LRN0025,CRS008,2024-03-04,2024-05-23,2024-03-19,Completed,100,2024-03-19,92.83,2,1,Yes
ENR01564,LRN0493,CRS036,2024-03-12,2024-04-01,,In Progress,21,2024-03-17,,3,,No
ENR00502,LRN0032,CRS040,2024-02-02,2024-03-03,2024-02-05,Completed,100,2024-02-05,69.28,1,1,Yes
ENR01517,LRN0350,CRS057,2024-01-10,2024-01-20,,In Progress,87,2024-02-27,,1,,No
ENR01813,LRN0285,CRS042,2024-02-17,2024-02-27,,In Progress,74,2024-03-09,,1,,No
ENR00374,LRN0491,CRS026,2024-03-05,2024-03-15,2024-03-24,Completed,100,2024-03-24,66.49,1,2,Yes
ENR01957,LRN0428,CRS055,2024-03-04,2024-03-14,,In Progress,34,,,1,,No
ENR01569,LRN0491,CRS023,2024-02-21,2024-05-11,2024-03-10,Completed,100,2024-03-10,90.16,1,3,Yes
ENR00878,LRN0187,CRS055,2024-02-02,2024-02-12,2024-02-05,Completed,100,2024-02-05,99.01,2,1,Yes
ENR01929,LRN0139,CRS014,2024-01-18,2024-02-17,2024-02-22,Completed,100,2024-02-22,50.78,1,1,No
ENR00355,LRN0198,CRS023,2024-02-10,2024-04-30,,In Progress,62,2024-03-11,,1,,No
ENR01245,LRN0245,CRS013,2024-03-10,2024-05-29,,Dropped,11,2024-03-20,,1,,No
ENR01338,LRN0064,CRS059,2024-02-02,2024-04-22,2024-03-31,Completed,100,2024-03-31,81.03,1,5,Yes
ENR00841,LRN0159,CRS014,2024-02-04,2024-03-05,,In Progress,63,2024-02-04,,2,,No
ENR01560,LRN0437,CRS031,2024-01-29,2024-02-08,,Dropped,8,2024-02-01,,1,,No
ENR00797,LRN0256,CRS055,2024-01-12,2024-01-22,2024-01-26,Completed,100,2024-01-26,74.6,2,2,Yes
ENR01030,LRN0327,CRS049,2024-01-19,2024-02-28,,In Progress,48,2024-02-05,,1,,No
ENR00844,LRN0168,CRS011,2024-02-02,2024-02-12,,Not Started,0,,,1,,No
ENR00169,LRN0391,CRS040,2024-03-16,2024-04-15,2024-03-31,Completed,100,,61.18,1,2,Yes
ENR00221,LRN0065,CRS006,2024-01-23,2024-02-02,,In Progress,40,2024-02-18,,1,,No
ENR00453,LRN0076,CRS030,2024-01-14,2024-03-14,,Dropped,1,,,2,,No
ENR00364,LRN0094,CRS031,2024-01-18,2024-01-28,,Dropped,19,2024-01-29,,1,,No
ENR01795,LRN0275,CRS038,2024-01-12,2024-02-11,2024-02-03,Completed,100,2024-02-03,74.73,1,3,Yes
ENR01975,LRN0395,CRS033,2024-02-27,2024-04-07,,In Progress,65,2024-03-30,,1,,No
ENR01620,LRN0230,CRS049,2024-02-13,2024-03-24,,Dropped,10,2024-02-25,,1,,No
ENR01549,LRN0211,CRS051,2024-02-13,2024-05-03,,Dropped,9,2024-02-26,,1,,No
ENR01499,LRN0190,CRS023,2024-03-07,2024-05-26,2024-03-31,Completed,100,2024-03-31,70.41,1,1,Yes
ENR01866,LRN0476,CRS001,2024-01-28,2024-02-27,2024-01-31,Completed,100,2024-01-31,98.86,3,5,Yes
ENR00642,LRN0184,CRS020,2024-01-21,2024-01-31,,In Progress,12,2024-02-13,,1,,No
ENR00046,LRN0449,CRS017,2024-02-03,2024-02-23,,In Progress,31,2024-03-01,,1,,No
ENR01373,LRN0241,CRS049,2024-03-02,2024-04-11,,Dropped,4,2024-03-16,,1,,No
ENR01071,LRN0101,CRS028,2024-01-06,2024-02-15,,In Progress,80,2024-03-21,,1,,No
ENR00697,LRN0073,CRS059,2024-02-01,2024-04-21,,Dropped,16,,,1,,No
ENR01266,LRN0330,CRS052,2024-01-14,2024-04-03,2024-01-20,Completed,100,2024-01-20,46.94,1,4,No
ENR01535,LRN0172,CRS013,2024-02-16,2024-05-06,,Not Started,0,,,1,,No
ENR00597,LRN0289,CRS007,2024-02-09,2024-03-20,2024-03-26,Completed,100,2024-03-26,79.65,1,5,Yes
ENR01641,LRN0077,CRS010,2024-01-15,2024-02-04,2024-02-03,Completed,100,2024-02-03,82.35,1,3,Yes
ENR00436,LRN0441,CRS043,2024-01-10,2024-03-30,,In Progress,65,2024-03-03,,1,,No
ENR01308,LRN0386,CRS043,2024-01-18,2024-04-07,2024-03-30,Completed,100,2024-03-30,87.43,1,1,Yes
ENR00109,LRN0061,CRS045,2024-01-28,2024-02-07,,In Progress,30,2024-02-01,,2,,No
ENR00202,LRN0043,CRS036,2024-02-01,2024-02-21,,Dropped,8,2024-02-08,,1,,No
ENR00176,LRN0240,CRS028,2024-02-22,2024-04-02,2024-03-19,Completed,100,2024-03-19,62.44,1,2,Yes
ENR01282,LRN0320,CRS006,2024-01-08,2024-01-18,2024-01-11,Completed,100,2024-01-11,93.7,1,4,Yes
ENR00423,LRN0006,CRS058,2024-01-23,2024-02-22,,In Progress,25,2024-01-27,,3,,No
ENR00894,LRN0004,CRS042,2024-02-02,2024-02-12,2024-02-05,Completed,100,2024-02-05,48.56,1,3,No
ENR00708,LRN0260,CRS005,2024-02-04,2024-03-15,,In Progress,78,,,2,,No
ENR00096,LRN0448,CRS020,2024-02-10,2024-02-20,,Not Started,0,,,1,,No
ENR00928,LRN0071,CRS033,2024-02-10,2024-03-21,2024-03-24,Completed,100,2024-03-24,79.89,1,5,Yes
ENR00967,LRN0473,CRS007,2024-02-28,2024-04-08,2024-03-15,Completed,100,2024-03-15,58.28,3,1,No
ENR01824,LRN0113,CRS004,2024-02-03,2024-04-03,,In Progress,16,2024-02-04,,1,,No
ENR01309,LRN0207,CRS007,2024-01-17,2024-02-26,,Not Started,0,,,1,,No
ENR01427,LRN0329,CRS006,2024-03-16,2024-03-26,,In Progress,71,2024-03-17,,1,,No
ENR00887,LRN0236,CRS041,2024-02-12,2024-03-13,,Dropped,7,2024-02-13,,1,,No
ENR01472,LRN0169,CRS052,2024-02-07,2024-04-27,,Dropped,24,2024-02-14,,1,,No
ENR01038,LRN0222,CRS049,2024-03-06,2024-04-15,2024-03-31,Completed,100,,75.14,1,5,Yes
ENR00042,LRN0344,CRS052,2024-03-17,2024-06-05,,Dropped,2,2024-03-29,,1,,No
ENR00493,LRN0410,CRS007,2024-02-29,2024-04-09,,In Progress,28,2024-03-27,,1,,No
ENR01295,LRN0372,CRS008,2024-01-24,2024-04-13,,Dropped,28,2024-02-02,,1,,No
ENR00466,LRN0007,CRS053,2024-02-15,2024-05-05,2024-03-23,Completed,100,2024-03-23,94.03,1,5,Yes
ENR01160,LRN0130,CRS054,2024-03-08,2024-04-17,2024-03-31,Completed,100,2024-03-31,95.34,1,3,Yes
ENR01022,LRN0005,CRS021,2024-01-22,2024-02-11,,Dropped,1,2024-01-30,,1,,No
ENR01398,LRN0140,CRS029,2024-01-18,2024-04-07,,Not Started,0,,,1,,No
ENR01667,LRN0011,CRS048,2024-01-22,2024-02-01,,Dropped,0,2024-01-22,,1,,No
ENR01659,LRN0385,CRS009,2024-01-01,2024-01-21,2024-01-20,Completed,100,2024-01-20,54.77,2,4,No
ENR00947,LRN0104,CRS052,2024-02-04,2024-04-24,2024-03-04,Completed,100,2024-03-04,97.98,1,4,Yes
ENR01573,LRN0198,CRS012,2024-02-21,2024-04-01,,In Progress,46,2024-03-24,,1,,No
ENR01605,LRN0410,CRS038,2024-01-17,2024-02-16,,Dropped,2,2024-01-19,,1,3,No
ENR01924,LRN0370,CRS026,2024-01-17,2024-01-27,,Not Started,0,,,2,,No
ENR01221,LRN0035,CRS013,2024-01-26,2024-04-15,2024-02-19,Completed,100,2024-02-19,49.91,1,3,No
ENR00709,LRN0291,CRS034,2024-02-01,2024-02-21,2024-02-07,Completed,100,2024-02-07,82.93,1,2,Yes
ENR00627,LRN0378,CRS002,2024-02-12,2024-03-03,,Dropped,20,2024-02-25,,2,,No
ENR00020,LRN0300,CRS048,2024-02-19,2024-02-29,,Dropped,15,2024-03-01,,2,,No
ENR01037,LRN0178,CRS040,2024-02-11,2024-03-12,2024-02-14,Completed,100,2024-02-14,89.07,1,4,Yes
ENR01634,LRN0176,CRS025,2024-02-20,2024-03-31,,Dropped,16,2024-02-24,,2,,No
ENR01622,LRN0450,CRS001,2024-01-30,2024-02-29,2024-02-06,Completed,100,2024-02-06,58.95,1,1,No
ENR00574,LRN0163,CRS013,2024-03-12,2024-05-31,,In Progress,90,2024-03-13,,1,,No
ENR01976,LRN0307,CRS052,2024-01-06,2024-03-26,2024-01-27,Completed,100,2024-01-27,76.5,1,2,Yes
ENR00402,LRN0417,CRS024,2024-01-03,2024-02-02,2024-01-17,Completed,100,2024-01-17,72.61,2,4,Yes
ENR01159,LRN0439,CRS060,2024-03-08,2024-04-07,2024-03-11,Completed,100,2024-03-11,48.34,2,1,No
ENR01855,LRN0347,CRS056,2024-02-26,2024-04-26,,In Progress,70,2024-02-26,,1,,No
ENR01445,LRN0245,CRS022,2024-03-06,2024-03-26,,In Progress,16,2024-03-20,,2,,No
ENR01586,LRN0094,CRS015,2024-01-16,2024-01-26,2024-01-19,Completed,100,2024-01-19,51.66,1,1,No
ENR00771,LRN0057,CRS008,2024-03-11,2024-05-30,,Dropped,22,2024-03-13,,1,,No
ENR00680,LRN0012,CRS049,2024-02-06,2024-03-17,,In Progress,40,2024-03-08,,1,,No
ENR00936,LRN0112,CRS033,2024-01-04,2024-02-13,2024-01-12,Completed,100,2024-01-12,90.63,2,2,Yes
ENR00449,LRN0039,CRS032,2024-01-08,2024-01-18,2024-01-24,Completed,100,2024-01-24,56.89,2,2,No
ENR00477,LRN0017,CRS031,2024-02-15,2024-02-25,2024-03-02,Completed,100,2024-03-02,80.04,1,1,Yes
ENR01100,LRN0477,CRS003,2024-02-09,2024-02-29,,Not Started,0,,,1,,No
ENR00092,LRN0471,CRS027,2024-02-28,2024-03-29,,Not Started,0,,,1,,No
ENR00989,LRN0144,CRS030,2024-02-13,2024-04-13,2024-03-31,Completed,100,2024-03-31,78.29,2,4,Yes
ENR01958,LRN0087,CRS019,2024-03-12,2024-05-11,2024-03-31,Completed,100,2024-03-31,59.66,1,4,No
ENR00893,LRN0308,CRS027,2024-03-05,2024-04-04,,In Progress,64,2024-03-11,,1,,No
ENR01448,LRN0433,CRS056,2024-02-16,2024-04-16,,In Progress,83,,,1,,No
ENR00480,LRN0322,CRS030,2024-03-10,2024-05-09,2024-03-31,Completed,100,2024-03-31,50.28,1,3,No
ENR01391,LRN0478,CRS044,2024-02-24,2024-05-14,2024-03-13,Completed,100,2024-03-13,51.51,1,2,No
ENR01471,LRN0237,CRS050,2024-03-05,2024-03-15,,Not Started,0,,,1,,No
ENR01662,LRN0338,CRS012,2024-01-15,2024-02-24,,In Progress,28,,,1,,No
ENR01296,LRN0083,CRS004,2024-02-12,2024-04-12,2024-03-31,Completed,100,2024-03-31,86.79,2,1,Yes
ENR01354,LRN0478,CRS001,2024-03-10,2024-04-09,2024-03-13,Completed,100,2024-03-13,59.27,1,4,No
ENR01988,LRN0189,CRS017,2024-03-08,2024-03-28,2024-03-20,Completed,100,2024-03-20,57.76,2,3,No
ENR00360,LRN0074,CRS054,2024-03-11,2024-04-20,,Not Started,0,,,2,,No
ENR01553,LRN0472,CRS010,2024-03-02,2024-03-22,,Dropped,8,2024-03-04,,1,,No
ENR00125,LRN0259,CRS025,2024-01-15,2024-02-24,2024-01-30,Completed,100,,70.57,1,4,Yes
ENR00892,LRN0039,CRS013,2024-01-24,2024-04-13,,Dropped,14,2024-02-05,,1,,No
ENR01942,LRN0087,CRS051,2024-01-21,2024-04-10,2024-02-20,Completed,100,2024-02-20,49.8,1,2,No
ENR01201,LRN0430,CRS050,2024-01-29,2024-02-08,2024-02-01,Completed,100,2024-02-01,87.69,1,5,Yes
ENR00823,LRN0157,CRS002,2024-03-13,2024-04-02,,In Progress,32,2024-03-15,,1,,No
ENR00049,LRN0253,CRS008,2024-01-19,2024-04-08,2024-01-25,Completed,100,2024-01-25,56.21,1,2,No
ENR01761,LRN0012,CRS037,2024-02-22,2024-04-02,,In Progress,63,2024-02-24,,1,,No
ENR01952,LRN0211,CRS008,2024-01-02,2024-03-22,,In Progress,43,2024-03-21,,1,4,No
ENR00714,LRN0221,CRS056,2024-01-15,2024-03-15,,Dropped,12,2024-01-22,,1,,No
ENR00543,LRN0433,CRS055,2024-02-15,2024-02-25,,In Progress,86,2024-02-17,,1,,No
ENR00233,LRN0431,CRS011,2024-01-02,2024-01-12,2024-01-05,Completed,100,2024-01-05,80.44,2,4,Yes
ENR00118,LRN0388,CRS004,2024-03-13,2024-05-12,,In Progress,74,2024-03-28,,2,,No
ENR00084,LRN0033,CRS022,2024-02-25,2024-03-16,2024-03-05,Completed,100,2024-03-05,51.64,1,3,No
ENR01032,LRN0492,CRS004,2024-02-01,2024-04-01,,Not Started,0,,,2,,No
ENR01463,LRN0452,CRS051,2024-02-16,2024-05-06,,In Progress,40,2024-03-20,,1,,No
ENR00523,LRN0337,CRS005,2024-01-10,2024-02-19,2024-02-08,Completed,100,2024-02-08,56.32,1,3,No
ENR00081,LRN0408,CRS031,2024-01-21,2024-01-31,,In Progress,21,2024-02-26,,1,,No
ENR00183,LRN0370,CRS053,2024-02-29,2024-05-19,2024-03-05,Completed,100,2024-03-05,62.22,1,4,Yes
ENR00741,LRN0206,CRS037,2024-02-07,2024-03-18,2024-03-26,Completed,100,2024-03-26,66.45,1,3,Yes
ENR01177,LRN0399,CRS036,2024-03-08,2024-03-28,,Dropped,11,2024-03-08,,1,1,No
ENR00342,LRN0202,CRS044,2024-01-25,2024-04-14,2024-01-29,Completed,100,2024-01-29,68.45,1,4,Yes
ENR01077,LRN0340,CRS004,2024-03-04,2024-05-03,,Not Started,0,,,1,,No
ENR00435,LRN0146,CRS039,2024-01-28,2024-04-17,,In Progress,81,2024-02-10,,1,,No
ENR00254,LRN0393,CRS018,2024-01-29,2024-02-28,,Dropped,30,2024-02-08,,3,,No
ENR01054,LRN0479,CRS051,2024-01-20,2024-04-09,,Not Started,0,,,1,,No
ENR00965,LRN0301,CRS040,2024-02-14,2024-03-15,,Not Started,0,,,1,,No
ENR01319,LRN0247,CRS060,2024-01-07,2024-02-06,,In Progress,88,2024-02-22,,1,,No
ENR00929,LRN0253,CRS002,2024-02-23,2024-03-14,,In Progress,35,2024-02-25,,1,,No
ENR00531,LRN0179,CRS060,2024-01-04,2024-02-03,,Not Started,0,,,1,,No
ENR00058,LRN0252,CRS052,2024-02-25,2024-05-15,,Dropped,19,2024-03-10,,2,,No
ENR01982,LRN0042,CRS044,2024-03-13,2024-06-01,,Dropped,10,2024-03-27,,1,,No
ENR00156,LRN0023,CRS004,2024-01-17,2024-03-17,2024-03-07,Completed,100,2024-03-07,73.22,1,3,Yes
ENR01933,LRN0278,CRS031,2024-03-04,2024-03-14,2024-03-14,Completed,100,2024-03-14,79.87,2,2,Yes
ENR00470,LRN0491,CRS057,2024-03-08,2024-03-18,2024-03-24,Completed,100,2024-03-24,64.19,1,5,Yes
ENR01699,LRN0496,CRS023,2024-02-19,2024-05-09,2024-03-31,Completed,100,2024-03-31,59.36,1,4,No
ENR00143,LRN0483,CRS042,2024-01-07,2024-01-17,,Dropped,27,2024-01-12,,2,,No
ENR00430,LRN0383,CRS018,2024-02-10,2024-03-11,,In Progress,59,2024-03-19,,1,,No
ENR01579,LRN0342,CRS001,2024-01-10,2024-02-09,,In Progress,22,2024-03-13,,1,,No
ENR00738,LRN0290,CRS006,2024-03-12,2024-03-22,,Dropped,10,2024-03-20,,1,,No
ENR00124,LRN0424,CRS058,2024-01-16,2024-02-15,2024-01-26,Completed,100,2024-01-26,86.37,1,4,Yes
ENR00057,LRN0437,CRS014,2024-01-21,2024-02-20,2024-02-10,Completed,100,2024-02-10,60.67,1,2,Yes
ENR00532,LRN0135,CRS052,2024-03-16,2024-06-04,2024-03-19,Completed,100,2024-03-19,63.75,2,4,Yes
ENR00471,LRN0142,CRS020,2024-01-25,2024-02-04,2024-02-05,Completed,100,2024-02-05,83.6,2,1,Yes
ENR01374,LRN0276,CRS037,2024-03-10,2024-04-19,,In Progress,79,2024-03-27,,3,,No
ENR01080,LRN0067,CRS060,2024-02-03,2024-03-04,2024-02-16,Completed,100,2024-02-16,81.95,1,4,Yes
ENR00886,LRN0005,CRS047,2024-01-02,2024-03-02,,Dropped,4,2024-01-07,,1,,No
ENR00809,LRN0360,CRS016,2024-03-09,2024-03-29,,In Progress,74,2024-03-12,,1,,No
ENR00511,LRN0437,CRS034,2024-03-05,2024-03-25,2024-03-08,Completed,100,2024-03-08,75.03,2,5,Yes
ENR01007,LRN0114,CRS016,2024-02-28,2024-03-19,,In Progress,38,2024-03-10,,1,3,No
ENR01781,LRN0122,CRS026,2024-02-23,2024-03-04,,Dropped,23,2024-02-24,,1,,No
ENR01005,LRN0012,CRS036,2024-03-15,2024-04-04,2024-03-24,Completed,100,2024-03-24,54.45,3,4,No
ENR01955,LRN0355,CRS014,2024-02-02,2024-03-03,,In Progress,89,2024-02-13,,3,,No
ENR01625,LRN0108,CRS004,2024-01-11,2024-03-11,,Not Started,0,,,1,,No
ENR00393,LRN0110,CRS004,2024-01-28,2024-03-28,,Dropped,27,2024-02-09,,1,,No
ENR00212,LRN0307,CRS032,2024-01-14,2024-01-24,,Dropped,10,2024-01-26,,1,3,No
ENR01401,LRN0273,CRS004,2024-02-29,2024-04-29,,In Progress,57,2024-03-10,,3,,No
ENR01757,LRN0105,CRS022,2024-03-09,2024-03-29,,Dropped,19,2024-03-19,,1,,No
ENR01764,LRN0393,CRS022,2024-03-09,2024-03-29,,Dropped,8,2024-03-16,,2,,No
ENR01113,LRN0486,CRS018,2024-02-25,2024-03-26,2024-02-28,Completed,100,2024-02-28,68.83,1,1,Yes
ENR01393,LRN0069,CRS049,2024-02-10,2024-03-21,,In Progress,13,2024-03-05,,1,,No
ENR00869,LRN0462,CRS023,2024-01-26,2024-04-15,,Dropped,19,2024-01-29,,2,,No
ENR01457,LRN0359,CRS054,2024-01-12,2024-02-21,,Dropped,19,2024-01-21,,1,,No
ENR00373,LRN0289,CRS051,2024-03-02,2024-05-21,2024-03-31,Completed,100,2024-03-31,50.13,1,3,No
ENR01186,LRN0425,CRS024,2024-01-03,2024-02-02,,Dropped,15,2024-01-08,,1,,No
ENR00201,LRN0006,CRS017,2024-01-15,2024-02-04,,Dropped,20,2024-01-17,,1,,No
ENR00705,LRN0460,CRS025,2024-01-02,2024-02-11,,In Progress,53,2024-01-10,,1,,No
ENR00217,LRN0228,CRS048,2024-02-12,2024-02-22,2024-02-17,Completed,100,2024-02-17,80.4,1,5,Yes
ENR01213,LRN0029,CRS008,2024-02-19,2024-05-09,,In Progress,20,2024-02-23,,1,,No
ENR00284,LRN0111,CRS009,2024-03-11,2024-03-31,2024-03-28,Completed,100,,60.26,1,4,Yes
ENR00976,LRN0279,CRS007,2024-02-23,2024-04-03,,In Progress,65,,,1,,No
ENR00468,LRN0073,CRS023,2024-03-04,2024-05-23,2024-03-31,Completed,100,2024-03-31,85.76,3,3,Yes
ENR00651,LRN0426,CRS030,2024-02-01,2024-04-01,,Dropped,24,2024-02-02,,1,,No
ENR01965,LRN0251,CRS055,2024-02-22,2024-03-03,,Dropped,14,2024-02-26,,1,,No
ENR01091,LRN0497,CRS021,2024-02-29,2024-03-20,2024-03-03,Completed,100,2024-03-03,77.71,1,1,Yes
ENR01779,LRN0270,CRS028,2024-01-13,2024-02-22,,In Progress,16,2024-02-09,,1,,No
ENR00827,LRN0086,CRS058,2024-01-13,2024-02-12,,In Progress,29,2024-03-30,,3,,No
ENR00785,LRN0250,CRS049,2024-02-07,2024-03-18,2024-02-10,Completed,100,2024-02-10,49.87,1,5,No
ENR01681,LRN0181,CRS038,2024-02-23,2024-03-24,,In Progress,41,2024-03-28,,1,,No
ENR01225,LRN0500,CRS023,2024-02-18,2024-05-08,2024-03-11,Completed,100,2024-03-11,69.61,2,5,Yes
ENR00225,LRN0196,CRS028,2024-01-11,2024-02-20,,Dropped,19,2024-01-25,,1,,No
ENR00701,LRN0244,CRS046,2024-02-26,2024-04-06,,In Progress,26,2024-03-06,,1,,No
